"catalogNumber","scientificName","country","locality","minimumAltitudeInMeters","eventDate","recordedBy","otherCatalogNumbers","specimen_image","cover_image","cover_barcode","sheet_type","latitude","longitude","formatted_address"
"FI-HCI-00050322","Cnidium reichenbachii Huter","Hungarica ","Austro-Hungarica. Dalmatia. In saxosis ad pedem montis Biokovo ad Macarscam.","",,"Pichler","FI-HCI-00050322","/CP1_20240402_BATCH_0001/FI-HCI-00050322.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021838.jpg","Folder-FI-HCI-0021838","",43.3252778,17.0491667,"biokovo, 21300, makarska, croatia"
"FI-HCI-00050323","Ligusticum seguieri /Jacq./Koch","Slovenia","Jugoslavia, Primorsko: Čaven, in graminosis lapidosis, solo calcareo.","1100 m.",1959,"E. Mayer","FI-HCI-00050323","/CP1_20240402_BATCH_0001/FI-HCI-00050323.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021838.jpg","Folder-FI-HCI-0021838","",42.2683746,27.753286,"8180 primorsko, bulgaria"
"FI-HCI-00050324","Libanotis vulgaris y. daucifolia DC.","","Culto.","",,"collector unknown","FI-HCI-00050324","/CP1_20240402_BATCH_0001/FI-HCI-00050324.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021839.jpg","Folder-FI-HCI-0021839","",,,
"FI-HCI-00050325","Ligusticum pyrenaicum","","H. Bot: Mus. Flor.","",1864,"ex herb. R. Musaei Florentini ","FI-HCI-00050325","/CP1_20240402_BATCH_0001/FI-HCI-00050325.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021840.jpg","Folder-FI-HCI-0021840","Multisheet",38.734561,41.491038,"muş, muş merkez/muş, türkiye"
"FI-HCI-00050326","","","","",,"collector unknown","FI-HCI-00050326","/CP1_20240402_BATCH_0001/FI-HCI-00050326.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021840.jpg","Folder-FI-HCI-0021840","Multisheet",,,
"FI-HCI-00050327","Ligusticum seguieri","","H. Bot. Mus. Flor.","",1862,"ex herb. I. et R. Musaei Florentini","FI-HCI-00050327","/CP1_20240402_BATCH_0001/FI-HCI-00050327.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021840.jpg","Folder-FI-HCI-0021840","Multisheet",38.734561,41.491038,"muş, muş merkez/muş, türkiye"
"FI-HCI-00050328","","","","",,"collector unknown","FI-HCI-00050328","/CP1_20240402_BATCH_0001/FI-HCI-00050328.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021840.jpg","Folder-FI-HCI-0021840","Multisheet",,,
"FI-HCI-00050329","Libauotis seselioives Turcz","","Dahuria Nertsehinensis Turczaninon.","",,"ex herb. Horti botan. Imjperialis Petropolitani.","FI-HCI-00050329","/CP1_20240402_BATCH_0001/FI-HCI-00050329.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021841.jpg","Folder-FI-HCI-0021841","",,,
"FI-HCI-00050330","Zilianuotis seseloides Turcz.","","Manshuria Rossica. Flum Bureja infer.","",1895,"V. Komarov. ","FI-HCI-00050330","/CP1_20240402_BATCH_0001/FI-HCI-00050330.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021841.jpg","Folder-FI-HCI-0021841","",,,
"FI-HCI-00050331","Ligusticum waltonii (C.B.Cl*.) Wolff","Tibet- Tsang","Piana di Gyantse e monti circostamti.","4000 - 5100 m. ",1937,"Fosco Maraini","FI-HCI-00050331","/CP1_20240402_BATCH_0001/FI-HCI-00050331.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021842.jpg","Folder-FI-HCI-0021842","",,,
"FI-HCI-00050332","Ligusticum waltonii (C.B.Cl*.) Wolff","Tibet- Tsang","Piana di Gyantse e monti circostanti.","4000 - 5100 m.",1937,"Fosco Maraini","FI-HCI-00050332","/CP1_20240402_BATCH_0001/FI-HCI-00050332.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021842.jpg","Folder-FI-HCI-0021842","",,,
"FI-HCI-00050333","Ligusticum waltonii (C.B.Cl*.) Wolff","Tibet- Tsang","Piana di Gyantse e monti circostanti.","4000 - 5100 m. ",1937,"Fosco Maraini","FI-HCI-00050333","/CP1_20240402_BATCH_0001/FI-HCI-00050333.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021842.jpg","Folder-FI-HCI-0021842","",,,
"FI-HCI-00050334","Ligusticum","","Bosco Uembro*.","",1893,"U. Martelli. ","FI-HCI-00050334","/CP1_20240402_BATCH_0001/FI-HCI-00050334.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021843.jpg","Folder-FI-HCI-0021843","",,,
"FI-HCI-00050335","Bonannia resinifera Guss. ","","In apricis herbosis Calabriae; cer* stiovilleri. *","",1887,"Zenaes*","FI-HCI-00050335","/CP1_20240402_BATCH_0001/FI-HCI-00050335.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",,,
"FI-HCI-00050336","Bonannia resinifera","","In herlidis collicum pros pru paligg *","",1877,"Arcangeli","FI-HCI-00050336","/CP1_20240402_BATCH_0001/FI-HCI-00050336.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",,,
"FI-HCI-00050337","Bonannia resinifera","","Agris semme* cervatis leller* prope holo is calabria* alt fa","",1877,"Arcangeli","FI-HCI-00050337","/CP1_20240402_BATCH_0001/FI-HCI-00050337.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3087714,16.3463791,"calabria, italy"
"FI-HCI-00050338","Bonannia resinifera","","Calabria orient valverara ","4- 1400 m. ",1877,"collector unknown","FI-HCI-00050338","/CP1_20240402_BATCH_0001/FI-HCI-00050338.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3087714,16.3463791,"calabria, italy"
"FI-HCI-00050339","Bonannia resinifera","","Ui agris semmi montis stella prope stilo ui calabria ult fa*","",1817,"Dr. J. Arcangeli","FI-HCI-00050339","/CP1_20240402_BATCH_0001/FI-HCI-00050339.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",38.4773673,16.4689149,"89049 stilo rc, italy"
"FI-HCI-00050341","Bonannia resinosa strobl","","Calabria - Lila bra Cecita e Cauigliantello- Regioue Abolarotta","1240 m.",1918,"Adr Fiori","FI-HCI-00050341","/CP1_20240402_BATCH_0001/FI-HCI-00050341.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3087714,16.3463791,"calabria, italy"
"FI-HCI-00050342","Bonannia resinifera","Italio","Calabria orien valverara","4-1400 m.",1877,"collector unknown","FI-HCI-00050342","/CP1_20240402_BATCH_0001/FI-HCI-00050342.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3087714,16.3463791,"calabria, italy"
"FI-HCI-00050343","Bonannia graeca (h) Halacry","","La Sila (Calabria) Difesa Spina","1400 m.",1951,"G. Sarfatti A. Contardo","FI-HCI-00050343","/CP1_20240402_BATCH_0001/FI-HCI-00050343.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3565523,16.5159804,"la sila, 87058 spezzano della sila, province of cosenza, italy"
"FI-HCI-00050344","Bonannia greaca (L.) Halacry","","La Sila (Calabria) Molarotta - Stazione Alpeggio campi e incolti","1150 m. ",1950,"G. Sarfatti e R. Corradi","FI-HCI-00050344","/CP1_20240402_BATCH_0001/FI-HCI-00050344.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3565523,16.5159804,"la sila, 87058 spezzano della sila, province of cosenza, italy"
"FI-HCI-00050345","Bonannia greaca (L) Halacry","","La Sila (Calabria) Piana di Cecita","1050 m.",1950,"G. Sarfatti e R. Corradi","FI-HCI-00050345","/CP1_20240402_BATCH_0001/FI-HCI-00050345.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021844.jpg","Folder-FI-HCI-0021844","",39.3565523,16.5159804,"la sila, 87058 spezzano della sila, province of cosenza, italy"
"FI-HCI-00050346","Bonannia resinifera","","An nerbiais ssiccis ui mouiosio Yeraci siculo  moutreoum","",1883,"collector unknown","FI-HCI-00050346","/CP1_20240402_BATCH_0001/FI-HCI-00050346.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",,,
"FI-HCI-00050347","Bonannia resinifera","","In herbosis apricis montosis- Lercara","1011 n.",1891,"Citarda ","FI-HCI-00050347","/CP1_20240402_BATCH_0001/FI-HCI-00050347.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",37.7484898,13.600407,"90025 lercara friddi, pa, italy"
"FI-HCI-00050348","Bonannia resinifera","","In nourij dichia Newey *","",1842,"collector unknown","FI-HCI-00050348","/CP1_20240402_BATCH_0001/FI-HCI-00050348.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",,,
"FI-HCI-00050351","Bonannia resinifera","","Yu auleareid* muntono Nuivveo* montreitti aegmuguvie*","",,"collector unknown","FI-HCI-00050351","/CP1_20240402_BATCH_0001/FI-HCI-00050351.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",,,
"FI-HCI-00050352","Bonannia resinifera","","In herbosis apricis montosis- Lercara","",,"Citarda","FI-HCI-00050352","/CP1_20240402_BATCH_0001/FI-HCI-00050352.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",37.7484898,13.600407,"90025 lercara friddi, pa, italy"
"FI-HCI-00050353","Bonannia resinifera","","In amord montons mishetta ugmrojaum*","",1887,"collector unknown","FI-HCI-00050353","/CP1_20240402_BATCH_0001/FI-HCI-00050353.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",,,
"FI-HCI-00050354","Bonannia resinifera","","In herbosis apricis montosis- Lercara","1011 n. ",,"Citarda","FI-HCI-00050354","/CP1_20240402_BATCH_0001/FI-HCI-00050354.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",37.7484898,13.600407,"90025 lercara friddi, pa, italy"
"FI-HCI-00050355","Bonannia resinifera","","Supra Bronte versus silvam Bosco di  Maletto","",1874,"P. Gabriel Strobl","FI-HCI-00050355","/CP1_20240402_BATCH_0001/FI-HCI-00050355.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",,,
"FI-HCI-00050356","Bonannia resinifera","","In sicis mountons gerqei siento Ligmiosaum","",,"collector unknown","FI-HCI-00050356","/CP1_20240402_BATCH_0001/FI-HCI-00050356.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021845.jpg","Folder-FI-HCI-0021845","",,,
"FI-HCI-00050357","Gaya simplex","","Cerufio Elalita al Moute Thuroij*","2000-2800",1908,"Lino Vaccari","FI-HCI-00050357","/CP1_20240402_BATCH_0001/FI-HCI-00050357.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050359","Gaya simplex Gaud","","Paseveli elevatissimi Alpe devero Valle Autigono","2200 m.",1888,"J. Bom","FI-HCI-00050359","/CP1_20240402_BATCH_0001/FI-HCI-00050359.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",46.311311,8.2597173,"28861 alpe devero vb, italy"
"FI-HCI-00050360","Gaya simplex Gaud","","Gommet au Col Ie La Madonna Ialle finestre","",1861,"collector unknown","FI-HCI-00050360","/CP1_20240402_BATCH_0001/FI-HCI-00050360.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050364","Gaya simplex Gaud","","Pasur alecretemiui Oller caleuoulle caljie presui Veio *","",1899,"collector unknown","FI-HCI-00050364","/CP1_20240402_BATCH_0001/FI-HCI-00050364.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050365","Gaya","","In jumio veria aru* Craniont","2700 m.",1829,"collector unknown","FI-HCI-00050365","/CP1_20240402_BATCH_0001/FI-HCI-00050365.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050369","Pachypleurum simplex Rehl.","","Ghiacciaio del Lys (Monte Rosa) ","",1923,"Prof. G. Negri","FI-HCI-00050369","/CP1_20240402_BATCH_0001/FI-HCI-00050369.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050370","Gaya simplex Gaud","","Corno del Camoseio sopra is Calle I' Ollen /m. rosa/","2900-3000",1901,"collector unknown","FI-HCI-00050370","/CP1_20240402_BATCH_0001/FI-HCI-00050370.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",45.8734114,7.8685618,"corno del camoscio, 13021 alagna valsesia vc, italy"
"FI-HCI-00050372","Gaya","","Alpi Corze: al colle delle porte e alte Balze Ii* Yalare*","",1887,"E. Ferrari","FI-HCI-00050372","/CP1_20240402_BATCH_0001/FI-HCI-00050372.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",46.630082,10.7565336,"39028 corzes bz, italy"
"FI-HCI-00050373","","","Presso I' Aspigio di Valdobbia","",1883,"A. B. Carestia","FI-HCI-00050373","/CP1_20240402_BATCH_0001/FI-HCI-00050373.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050374","Ligusticum simplex AU.","","Preflo il Lagu Bianco lileudu* al Ualauot*","",1894,"E. Ferrari","FI-HCI-00050374","/CP1_20240402_BATCH_0001/FI-HCI-00050374.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050375","Gaya","","Allagia (fior ir salsesia Piemonte) Frai i siupi Del Uonte: Cefalegno, versante norseo","",1856,"collector unknown","FI-HCI-00050375","/CP1_20240402_BATCH_0001/FI-HCI-00050375.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",45.8547362,7.9372875,"13021 alagna valsesia, province of vercelli, italy"
"FI-HCI-00050377","Ligusticum simplex","","Vallone O' Frauson","",1819,"L. Valtora","FI-HCI-00050377","/CP1_20240402_BATCH_0001/FI-HCI-00050377.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",,,
"FI-HCI-00050378","Ligusticum simplex Alt","","Parete est di Testa di Claus Fra","2700-2909 m.",1902,"L Leessole ?","FI-HCI-00050378","/CP1_20240402_BATCH_0001/FI-HCI-00050378.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",,,
"FI-HCI-00050379","Pachypleurum simplex Rchb","","Faruizza Valle Geaks: ira il vellette di lasari e il Piano di Guuscheland *","2100-2500 m. ",1914,"Maggiore Oliviero Boggiani ","FI-HCI-00050379","/CP1_20240402_BATCH_0001/FI-HCI-00050379.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",40.6331249,-89.3985283,"illinois, usa"
"FI-HCI-00050380","Pachypleurum simplex","","Valle Formazza Piano di Gemsland","2500 m. ",1914,"Maggiore Oliviero Boggiani","FI-HCI-00050380","/CP1_20240402_BATCH_0001/FI-HCI-00050380.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",46.3744557,8.4279459,"28863 formazza vb, italy"
"FI-HCI-00050381","Pachypleurum simplex Robb.","","Valle Formazza Sopra Riale verse Merasco","",1915,"Maggiore Oliviero Boggiani","FI-HCI-00050381","/CP1_20240402_BATCH_0001/FI-HCI-00050381.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",46.4229963,8.416291,"28863 riale vb, italy"
"FI-HCI-00050382","Pachypleurum simplex Rchb.","","Valle Formazza Interno a Im Mess","2100 m. ",1917,"Maggiore Oliviero Boggiani","FI-HCI-00050382","/CP1_20240402_BATCH_0001/FI-HCI-00050382.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",46.3744557,8.4279459,"28863 formazza vb, italy"
"FI-HCI-00050383","Pachypleurum simplex Rchb","","Valle Formazza Monte Castello; pasceli verse C. Ghighele","",1914,"Maggiore Oliviero Boggiani","FI-HCI-00050383","/CP1_20240402_BATCH_0001/FI-HCI-00050383.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",46.3744557,8.4279459,"28863 formazza vb, italy"
"FI-HCI-00050384","Pachypleurum simplex Rchb","","Feuerell * : panoli peno l' celpe * Alberepir *","2100 m. ",1928,"Orpuhro Veriello *","FI-HCI-00050384","/CP1_20240402_BATCH_0001/FI-HCI-00050384.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",,,
"FI-HCI-00050385","","","Dondena","",1909,"collector unknown","FI-HCI-00050385","/CP1_20240402_BATCH_0001/FI-HCI-00050385.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",45.6192661,7.5701408,"11020 dondenaz ao, italy"
"FI-HCI-00050386","Pachypleurum simplex Rchb","","Formazza Ira * L' olersee * il Passo Criner","2300 m.",1918,"Maggiore Oliviero Boggiani","FI-HCI-00050386","/CP1_20240402_BATCH_0001/FI-HCI-00050386.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",46.3744536,8.4279359,"28863 formazza, province of verbano-cusio-ossola, italy"
"FI-HCI-00050387","Pachypleurum simplex Rchb","","Rufi di ferre del Hereaulour* Vol Gesso (A.M)","2500 m.",1962,"P.G. Bono","FI-HCI-00050387","/CP1_20240402_BATCH_0001/FI-HCI-00050387.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",,,
"FI-HCI-00050388","Pachypleurum simplex Rchb","","Poscoli rocciosi su Cime del Navve, mellu Volletto Vol Gesso (A.M)","2700m. ",1962,"P.G Bono","FI-HCI-00050388","/CP1_20240402_BATCH_0001/FI-HCI-00050388.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",,,
"FI-HCI-00050389","Pachypleurum simplex Rchb","","Pontechianale","2750 m. ",1970,"G. Bono","FI-HCI-00050389","/CP1_20240402_BATCH_0001/FI-HCI-00050389.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",44.61471,7.0497841,"12020 pontechianale, province of cuneo, italy"
"FI-HCI-00050390","Gaya simplex","","V. ou*","2856",,"Lino Vaccari","FI-HCI-00050390","/CP1_20240402_BATCH_0001/FI-HCI-00050390.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050394","Gaya simplex","","Colle R Livounnea.","",1999,"Lino Vaccari","FI-HCI-00050395","/CP1_20240402_BATCH_0001/FI-HCI-00050395.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",42.36837,-83.3527097,"livonia, mi, usa"
"FI-HCI-00050397","Gaya simplex Gaud","","Val L.I* nathelemy en curvey, col l. Fantaney en*..","2500-2800",1999,"Lino Vaccari","FI-HCI-00050396","/CP1_20240402_BATCH_0001/FI-HCI-00050396.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050400","Gaya zinylex*","","Gr.J.Den*.","",1999,"Lino Vaccari","FI-HCI-00050399","/CP1_20240402_BATCH_0001/FI-HCI-00050399.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050401","Gaya simplex","","Piemonte-Monte Bianco.","",,"M. Payot","FI-HCI-00050401","/CP1_20240402_BATCH_0001/FI-HCI-00050401.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",45.0522366,7.5153885,"piedmont, italy"
"FI-HCI-00050402","Pachypleurum simplex Rchf","","Monte Jerrit Antr*.","",,"Unknown","FI-HCI-00050404","/CP1_20240402_BATCH_0001/FI-HCI-00050404.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050405","Gaya simplex","","Col delle dune* Biomobe alla graud Jomelta*(Val di Challant*).","2900-3000",1908,"Lino Vaccari","FI-HCI-00050405","/CP1_20240402_BATCH_0001/FI-HCI-00050405.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050406","Ligusticum simplex","","Monceuisio* prefto il liago* Bianco sotto il malamot*.","",1894,"P*.Ferrari","FI-HCI-00050406","/CP1_20240402_BATCH_0001/FI-HCI-00050406.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",45.2032499,6.9842538,"10050 moncenisio, metropolitan city of turin, italy"
"FI-HCI-00050407","Gaya simplex","","Grav J Bernard La Parlatore*.","7800",1949,"Unknown","FI-HCI-00050407","/CP1_20240402_BATCH_0001/FI-HCI-00050407.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",,,
"FI-HCI-00050408","Gaya simplex","","Alta Valle d'Aosta Tra Entreves e M. de la Saxe.","",1935,"Unknown","FI-HCI-00050408","/CP1_20240402_BATCH_0001/FI-HCI-00050408.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021848.jpg","Folder-FI-HCI-0021848","",45.8157327,6.9607738,"11013 entrèves, aosta valley, italy"
"FI-HCI-00050411","Gaya simplex","","Col Fenete* L. Femet.","2265?",1900,"Lino Vaccari","FI-HCI-00050410","/CP1_20240402_BATCH_0001/FI-HCI-00050410.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050413","Gaya simplex","","Petit ft. Bernard-Louwvet* de la Zaueebraulette*","2928?",1905,"Lino Vaccari","FI-HCI-00050414","/CP1_20240402_BATCH_0001/FI-HCI-00050414.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050416","Gaya simplex","","Valdi Fenispa* bramail* del Echely Bridalto* di bauna* del Naffud*.","2450-2900",1904,"Lino Vaccari","FI-HCI-00050415","/CP1_20240402_BATCH_0001/FI-HCI-00050415.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050419","Gaya simplex","","Monti del Picollo S. Bernardo.","2500",1997,"Lino Vaccari","FI-HCI-00050417","/CP1_20240402_BATCH_0001/FI-HCI-00050417.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050421","Gaya simplex","","Picollo San Bernardo Sintorini* del osfurio*.","2200",1903,"L.F*.P. Baromi","FI-HCI-00050423","/CP1_20240402_BATCH_0001/FI-HCI-00050423.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",36.3931562,25.4615092,"santorini, greece"
"FI-HCI-00050425","Gaya simplex","","Mt* Tunami* Picollo S Bernard.","",1903,"Baromi","FI-HCI-00050426","/CP1_20240402_BATCH_0001/FI-HCI-00050426.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050429","Gaya simplex","","Col de St. marcel.","2918?",1902,"Lino Vaccari","FI-HCI-00050430","/CP1_20240402_BATCH_0001/FI-HCI-00050430.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050434","Gaya","","Mont Colmet*.","2800-3024",1902,"Lino Vaccari","FI-HCI-00050433","/CP1_20240402_BATCH_0001/FI-HCI-00050433.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050435","Gaya simplex","","Lawebraulette*.","",1906,"Lino Vaccari","FI-HCI-00050437","/CP1_20240402_BATCH_0001/FI-HCI-00050437.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021849.jpg","Folder-FI-HCI-0021849","",,,
"FI-HCI-00050438","Gaya simplex gaud","","Pizzo Dei bre* Lignon alta* Cima fra* Ombrellifere*.","",1894,"C. Camperio","FI-HCI-00050438","/CP1_20240402_BATCH_0001/FI-HCI-00050438.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021850.jpg","Folder-FI-HCI-0021850","",,,
"FI-HCI-00050439","Pachypleurum simplex Rchb","","Passo Di Gavia morena del circolo glaciale sopra il Lago di Branco(verso Pizzo del 3 Signori-micasciti.","2650-2700",1939,"S. Zenari","FI-HCI-00050439","/CP1_20240402_BATCH_0001/FI-HCI-00050439.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021850.jpg","Folder-FI-HCI-0021850","",39.9769832,18.0109652,"73014 pizzo, province of lecce, italy"
"FI-HCI-00050440","Gaya simplex Gaud","","Tirolia auster. Pusteria ariend* Virgea in valle Isolea* in jegisalpium* schistac*.","7000-8000",1974,"Auperdorter*","FI-HCI-00050440","/CP1_20240402_BATCH_0001/FI-HCI-00050440.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021851.jpg","Folder-FI-HCI-0021851","",,,
"FI-HCI-00050441","Gaya simplex Gaud","","Tirolia austr. Pusteria ariand. Virgen in valle Isola in jegisalpium* schistac*.","7000-8000",1974,"Auperdorter*","FI-HCI-00050441","/CP1_20240402_BATCH_0001/FI-HCI-00050441.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021851.jpg","Folder-FI-HCI-0021851","",-25.274398,133.775136,"australia"
"FI-HCI-00050442","","","Alphe Bodella in Talpa.","",,"Tuntino*","FI-HCI-00050442","/CP1_20240402_BATCH_0001/FI-HCI-00050442.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021851.jpg","Folder-FI-HCI-0021851","",,,
